asset	group	status	allowed_use	release_policy	notes
bazi-ziwei-mingli-skill-v8.5.zip	external_skill_archive	review_required	source_archive_only	excluded_from_export	外部分发包仅作来源归档和方法论参考，不能直接作为生产依赖。
books/	public_domain_candidates	review_required	rule_index_seed	extract_short_structured_rules_only	古籍候选需逐本确认版本、来源和版权状态；不得复制大段原文进报告。
core/	methodology_notes	review_required	internal_research_only	no_direct_distribution	方法论笔记需人工复核原创性和授权后，才能提炼为项目规则。
cases/	case_material	review_required	no_frontend_examples	no_distribution_before_privacy_review	案例材料必须先做隐私脱敏与来源授权复核。
lightrag/merged.json	knowledge_graph	review_required	index_design_reference	no_direct_runtime_dependency	知识图谱体量大且来源混合，只能参考结构，不得直接进入生产检索。
scripts/	installer_scripts	blocked	do_not_execute	no_distribution_before_security_review	外部安装脚本可能创建 skill 链接或调用外部服务，默认禁止自动执行。
raw/bazi/pdf	modern_and_classic_pdf	review_required	source_archive_only	excluded_from_export	PDF 中现代讲义、评注和扫描本需逐项版权复核。
raw/bazi/text	text_corpus	review_required	rule_index_seed	extract_short_structured_rules_only	TXT 可作为规则提炼输入，但输出只能保留短规则摘要和来源索引。
raw/liuren	liuren_corpus	review_required	future_capability_research	excluded_from_export	大六壬资料先用于 provider 设计和测试 fixture，不直接发布。
raw/yijing	yijing_corpus	review_required	future_capability_research	excluded_from_export	六爻/易经资料先用于未来 capability 规则梳理。
