第一例

男命：1974年4月28日下午4:40分 出生地点：美国
命题提供者 中国香港 方荣老师

Q1 此命1996年发生何事？
A 患上严重抑郁痴（正确答案）
B 回港认识现任妻子
C 交通意外，撞车，人平安
D 得到一笔意外之财

Q2 此命何年结婚？
A 1999
B 2002
C 2006（正确答案）
D 到2022年为止，单身

Q3 此命2008年发生何事？
A 买卖股票，输了很多钱
B 与朋友合作生意，赚了很多钱
C 祖母过世，自己生病，要一段时间长期食药（正确答案）
D 交通意外，发现有遗传病

Q4 此命父亲是那一年仙逝？
A 2009
B 2013
C 2018 （正确答案）
D 2020

Q5 此命2020年发生何事？
A 工作升职得财
B 因长期食药，导致健康出问题（正确答案）
C 此年太太怀孕，得子
D 因病逝世


第二例

女命：阳历1981年5月26日凌晨02:17 出生地点：中国香港
命题提供者 中国香港 侯天同老师

Q6 此命的学历如何？
A 中七毕业
B 2002年升学内地，2006年大学毕业（正确答案）
C 预科后升本地大学，2004年大学毕业
D 中五后，1998年出国留学
Q7 这命何时候结婚？

A 2005年结婚
B 2006年先签纸结婚，2007年摆酒（正确答案）
C 2012年结婚，旅行外地签纸
D 2009年结婚
Q8 此命有一名女儿于何年出生？
A 2007年 （正确答案）
B 2009年
C 2012年
D 2015年

Q9 身材？
A 高挑，瘦削
B 高挑，肥胖
C 矮小，瘦削
D 矮小，肥胖（正确答案）

Q10 父母情况？
A 1988年父母离异，随母亲成长
B 1999年父亲出现婚外情，直至2009年父亲离开母亲，但没有离婚（正确答案）
C 2000年父亲出现婚外情，2021年父母离婚
D 2003年父母离婚,父亲再婚同年生一子


第三例

女命（佩小姐）：1990年05月23日17：30 出生地点：中国大陆
命题提供者 王雅妮老师

Q11 女生和父母、兄弟姐妹的关系如何？
A 从小父母疼爱呵护，兄弟姐妹关系融洽
B 从小父母疼爱呵护，兄弟姐妹关系淡薄
C 小时不在父母身边长大，吃百家饭，兄弟姐妹关系融洽
D 小时不在父母身边长大，吃百家饭，兄弟姐妹关系淡薄（正确答案）

Q12 佩小姐目前的工作情况和生活情况如何？
A 在事业单位/国企上班，有几十万存款，生活稳定
B 在家全职太太，老公赚钱养家
C 自我经营做老板，有负债（正确答案）
D 在普通公司里打工，月光族

Q13 这位女士佩的婚姻仔女如何？
A 未婚，没孩子
B 已婚，没孩子
C 已婚，有孩子
